target_id	length	eff_length	est_counts	tpm
b0001	66	9.5	1	3.3922
b0002	2463	2314.9	270	3.7587
b0003	933	784.897	104	4.26999
b0004	1287	1138.9	152	4.30096
b0005	297	148.937	8	1.73098
b0006	777	628.897	28	1.43478
b0007	1431	1282.9	7	0.175838
b0008	954	805.897	1837	73.4574
b0009	588	439.897	56	4.10245
b0010	567	418.897	14	1.07703
b0011	714	565.897	2	0.113893
b0013	405	256.937	1	0.125423
b0014	1917	1768.9	2101	38.2762
b0015	1131	982.897	475	15.5737
b0016	1113	964.897	54.3333	1.81464
b4412	153	26.0541	6.32993	7.82941
b0018	210	64.9364	1.67007	0.828808
b4413	55	7.66667	0	0
b0019	1167	1018.9	69	2.18235
b0020	906	757.897	21	0.892925
b0021	504	355.937	1.46247	0.132409
b0022	276	127.951	1.73391	0.436706
b0023	264	115.951	568	157.863
b0024	219	72.5594	1	0.444132
b0025	942	793.897	154	6.25119
b0026	2817	2668.9	841	10.1548
b0027	495	346.937	61	5.6661
b0028	450	301.937	49	5.2298
b0029	951	802.897	130	5.21782
b0030	915	766.897	93	3.90797
b0031	822	673.897	113	5.40369
b0032	1149	1000.9	1523	49.0361
b0033	3222	3073.9	3939	41.2955
b0034	396	247.937	34	4.41919
b0035	591	442.897	2	0.145524
b0036	786	637.897	6	0.303114
b0037	1554	1405.9	7	0.160454
b0038	1218	1069.9	6	0.180724
b0039	1143	994.897	3	0.0971737
b0040	1515	1366.9	0	0
b0041	771	622.897	0	0
b0042	942	793.897	0	0
b0043	1287	1138.9	2	0.0565915
b0044	288	139.937	3	0.690865
b0045	1332	1183.9	1	0.0272202
b0046	531	382.937	14	1.17816
b0047	1863	1714.9	45	0.84563
b0048	480	331.937	66	6.40757
b0049	843	694.897	61	2.82888
b0050	378	229.937	23	3.22347
b0051	822	673.897	107	5.11677
b0052	990	841.897	101	3.86606
b0053	1287	1138.9	323	9.13953
b0054	2355	2206.9	439	6.41045
b0055	816	667.897	33	1.59225
b4659	1613	1464.9	17	0.373979
b0058	660	511.897	29	1.82567
b0059	2907	2758.9	152	1.77547
b0060	2352	2203.9	160	2.33956
b0061	696	547.897	2088	122.811
b0062	1503	1354.9	6896	164.02
b0063	1701	1552.9	7718	160.165
b0064	879	730.897	981	43.2532
b0065	765	616.897	22	1.14925
b0066	699	550.897	36	2.1059
b0067	1611	1462.9	129	2.84172
b0068	984	835.897	169	6.51538
b0069	1656	1507.9	33	0.705258
b4662	132	16.183	0	0
b4577	227	79.659	6	2.42729
b0070	1179	1030.9	20	0.625202
b0071	606	457.897	20	1.40756
b0072	1401	1252.9	89	2.28918
